Time,PG2
13.31640625,-3
13.3203125,7
13.32421875,16
13.328125,23
13.33203125,29
13.3359375,32
13.33984375,33
13.34375,30
13.34765625,26
13.3515625,23
13.35546875,20
13.359375,20
13.36328125,19
13.3671875,18
13.37109375,15
13.375,10
13.37890625,5
13.3828125,0
13.38671875,-4
13.390625,-9
13.39453125,-15
13.3984375,-24
13.40234375,-35
13.40625,-43
13.41015625,-45
13.4140625,-38
13.41796875,-22
13.421875,2
13.42578125,28
13.4296875,51
13.43359375,67
13.4375,74
13.44140625,73
13.4453125,67
13.44921875,59
13.453125,50
13.45703125,42
13.4609375,35
13.46484375,28
13.46875,20
13.47265625,10
13.4765625,0
13.48046875,-8
13.484375,-14
13.48828125,-18
13.4921875,-18
13.49609375,-16
13.5,-13
13.50390625,-8
13.5078125,-1
13.51171875,9
13.515625,21
13.51953125,33
13.5234375,41
13.52734375,45
13.53125,44
13.53515625,38
13.5390625,30
13.54296875,21
13.546875,13
13.55078125,7
13.5546875,3
13.55859375,1
13.5625,1
13.56640625,1
13.5703125,0
13.57421875,-2
13.578125,-7
13.58203125,-14
13.5859375,-20
13.58984375,-23
13.59375,-24
13.59765625,-21
13.6015625,-18
13.60546875,-14
13.609375,-9
13.61328125,-2
13.6171875,6
13.62109375,13
13.625,18
13.62890625,19
13.6328125,14
13.63671875,7
13.640625,-1
13.64453125,-7
13.6484375,-10
13.65234375,-12
13.65625,-13
13.66015625,-14
13.6640625,-15
13.66796875,-14
13.671875,-13
13.67578125,-11
13.6796875,-8
13.68359375,-4
13.6875,0
13.69140625,4
13.6953125,9
13.69921875,14
13.703125,19
13.70703125,23
13.7109375,27
13.71484375,30
13.71875,33
13.72265625,36
13.7265625,39
13.73046875,41
13.734375,43
13.73828125,44
13.7421875,43
13.74609375,41
13.75,37
13.75390625,32
13.7578125,27
13.76171875,21
13.765625,16
13.76953125,10
13.7734375,3
13.77734375,-5
13.78125,-15
13.78515625,-25
13.7890625,-34
13.79296875,-38
13.796875,-38
13.80078125,-32
13.8046875,-22
13.80859375,-11
13.8125,-2
13.81640625,4
13.8203125,6
13.82421875,5
13.828125,3
13.83203125,0
13.8359375,-4
13.83984375,-8
13.84375,-12
13.84765625,-15
13.8515625,-16
13.85546875,-16
13.859375,-15
13.86328125,-16
13.8671875,-17
13.87109375,-18
13.875,-18
13.87890625,-15
13.8828125,-9
13.88671875,-1
13.890625,6
13.89453125,9
13.8984375,7
13.90234375,3
13.90625,1
13.91015625,4
13.9140625,12
13.91796875,24
13.921875,34
13.92578125,40
13.9296875,39
13.93359375,34
13.9375,26
13.94140625,16
13.9453125,6
13.94921875,-6
13.953125,-19
13.95703125,-32
13.9609375,-43
13.96484375,-52
13.96875,-58
13.97265625,-61
13.9765625,-61
13.98046875,-60
13.984375,-56
13.98828125,-50
13.9921875,-41
13.99609375,-31
14.0,-20
14.00390625,-12
14.0078125,-8
14.01171875,-9
14.015625,-12
14.01953125,-16
14.0234375,-19
14.02734375,-21
14.03125,-22
14.03515625,-23
14.0390625,-23
14.04296875,-21
14.046875,-15
14.05078125,-5
14.0546875,6
14.05859375,15
14.0625,18
14.06640625,16
14.0703125,10
14.07421875,3
14.078125,-2
14.08203125,-3
14.0859375,0
14.08984375,4
14.09375,7
14.09765625,6
14.1015625,2
14.10546875,-3
14.109375,-7
14.11328125,-7
14.1171875,-3
14.12109375,2
14.125,4
14.12890625,3
14.1328125,-2
14.13671875,-9
14.140625,-15
14.14453125,-18
14.1484375,-16
14.15234375,-11
14.15625,-6
14.16015625,-2
14.1640625,1
14.16796875,2
14.171875,2
14.17578125,1
14.1796875,0
14.18359375,-2
14.1875,-5
14.19140625,-10
14.1953125,-16
14.19921875,-21
14.203125,-26
14.20703125,-29
14.2109375,-29
14.21484375,-28
14.21875,-25
14.22265625,-22
14.2265625,-20
14.23046875,-19
14.234375,-18
14.23828125,-17
14.2421875,-14
14.24609375,-11
14.25,-7
14.25390625,-4
14.2578125,-3
14.26171875,-5
14.265625,-9
14.26953125,-15
14.2734375,-20
14.27734375,-25
14.28125,-26
14.28515625,-26
14.2890625,-25
14.29296875,-24
14.296875,-24
14.30078125,-25
14.3046875,-27
14.30859375,-30
14.3125,-33
14.31640625,-36
14.3203125,-37
14.32421875,-36
14.328125,-33
14.33203125,-28
14.3359375,-21
14.33984375,-13
14.34375,-4
14.34765625,6
14.3515625,16
14.35546875,25
14.359375,31
14.36328125,33
14.3671875,30
14.37109375,25
14.375,18
14.37890625,13
14.3828125,11
14.38671875,12
14.390625,15
14.39453125,21
14.3984375,27
14.40234375,33
14.40625,39
14.41015625,44
14.4140625,49
14.41796875,55
14.421875,60
14.42578125,65
14.4296875,67
14.43359375,65
14.4375,59
14.44140625,48
14.4453125,36
14.44921875,25
14.453125,16
14.45703125,12
14.4609375,12
14.46484375,15
14.46875,20
14.47265625,24
14.4765625,26
14.48046875,25
14.484375,22
14.48828125,16
14.4921875,9
14.49609375,4
14.5,3
14.50390625,8
14.5078125,19
14.51171875,32
14.515625,42
14.51953125,47
14.5234375,47
14.52734375,42
14.53125,35
14.53515625,29
14.5390625,22
14.54296875,14
14.546875,4
14.55078125,-10
14.5546875,-24
14.55859375,-37
14.5625,-43
14.56640625,-40
14.5703125,-29
14.57421875,-14
14.578125,2
14.58203125,14
14.5859375,19
14.58984375,18
14.59375,12
14.59765625,4
14.6015625,-3
14.60546875,-10
14.609375,-16
14.61328125,-21
14.6171875,-25
14.62109375,-25
14.625,-22
14.62890625,-19
14.6328125,-16
14.63671875,-13
14.640625,-12
14.64453125,-9
14.6484375,-6
14.65234375,-3
14.65625,-2
14.66015625,-4
14.6640625,-9
14.66796875,-15
14.671875,-20
14.67578125,-21
14.6796875,-21
14.68359375,-20
14.6875,-17
14.69140625,-13
14.6953125,-7
14.69921875,0
14.703125,8
14.70703125,14
14.7109375,16
14.71484375,12
14.71875,4
14.72265625,-6
14.7265625,-17
14.73046875,-26
14.734375,-34
14.73828125,-41
14.7421875,-48
14.74609375,-53
14.75,-56
14.75390625,-56
14.7578125,-54
14.76171875,-51
14.765625,-47
14.76953125,-42
14.7734375,-35
14.77734375,-26
14.78125,-13
14.78515625,0
14.7890625,12
14.79296875,22
14.796875,27
14.80078125,29
14.8046875,27
14.80859375,23
14.8125,17
14.81640625,13
14.8203125,11
14.82421875,13
14.828125,15
14.83203125,16
14.8359375,14
14.83984375,9
14.84375,0
14.84765625,-12
14.8515625,-25
