FP1,FP2,PG1,PG2,F7,F3,F2,F4,F8,C3,C2,C4,P3,P4,P2,T3,T4,T5,T6,O1,OZ,O2,ECG
-17,-21,-21,-58,-31,-72,-21,-34,-51,-19,-44,-45,-44,-49,-39,-57,-75,-62,-60,-63,-64,-59,-262
-7,-11,-5,-48,-24,-52,-12,-28,-33,-3,-25,-17,-13,-32,-26,-53,-47,-38,-43,-45,-43,-47,-261
5,0,14,-33,-16,-28,-3,-22,-15,9,-4,12,19,-12,-11,-44,-16,-10,-24,-22,-20,-28,-261
16,8,35,-16,-10,-6,3,-11,1,17,19,36,49,5,3,-29,12,15,-4,3,2,-6,-262
25,16,54,2,-7,11,12,8,17,22,42,57,72,18,16,-12,34,33,16,27,22,16,-261
35,28,69,20,-4,25,25,30,36,27,60,74,90,29,28,6,49,45,34,45,41,36,-254
45,42,77,37,0,37,39,50,55,34,73,87,100,38,40,20,56,54,48,55,53,53,-239
52,56,79,54,5,50,48,64,67,38,80,91,104,45,50,30,56,60,58,60,57,62,-221
56,67,76,69,13,63,52,69,70,38,80,87,103,51,61,38,53,65,67,65,54,60,-209
58,73,70,79,21,76,52,63,67,37,75,77,99,55,72,45,49,70,77,68,48,49,-205
54,73,62,81,28,81,45,48,58,34,64,63,89,55,80,49,45,72,82,65,41,31,-208
43,68,50,76,31,75,36,31,46,30,50,46,72,47,83,49,41,64,81,57,35,11,-211
31,61,35,69,31,60,29,20,36,29,35,31,49,37,81,46,36,46,74,45,31,-6,-212
24,55,19,64,28,42,26,16,27,31,24,20,24,28,75,41,28,24,63,30,32,-14,-207
22,48,3,57,22,23,24,10,17,31,12,9,-4,20,62,32,16,2,45,11,33,-15,-198
20,39,-14,45,13,3,15,-4,-1,25,-5,-10,-37,11,44,18,-2,-17,23,-9,27,-13,-186
17,27,-31,29,1,-16,2,-27,-26,14,-25,-33,-69,3,24,2,-20,-31,2,-26,13,-14,-174
16,18,-45,13,-12,-29,-7,-55,-45,6,-42,-54,-90,-1,10,-9,-33,-34,-15,-38,-2,-20,-161
15,11,-52,0,-22,-34,-6,-80,-54,4,-48,-68,-98,0,4,-15,-37,-29,-30,-48,-15,-28,-142
13,6,-53,-11,-27,-33,0,-94,-51,5,-46,-72,-95,4,4,-18,-35,-23,-43,-55,-27,-36,-115
8,1,-47,-19,-29,-27,7,-94,-41,8,-39,-65,-86,9,6,-21,-32,-20,-54,-60,-36,-42,-80
3,-3,-37,-24,-29,-20,12,-82,-28,10,-31,-51,-76,13,4,-24,-34,-20,-61,-67,-40,-44,-39
-4,-11,-29,-30,-30,-15,8,-64,-19,8,-28,-36,-72,12,-4,-31,-39,-23,-66,-76,-41,-44,0
-15,-21,-28,-38,-35,-16,-9,-49,-22,-4,-34,-25,-74,1,-20,-46,-47,-29,-72,-88,-45,-43,31
-26,-30,-33,-46,-43,-21,-31,-38,-32,-21,-43,-15,-75,-14,-38,-62,-54,-37,-74,-96,-52,-39,53
-33,-34,-41,-49,-52,-26,-47,-27,-41,-37,-45,-6,-70,-29,-50,-75,-57,-43,-74,-96,-57,-32,65
-35,-34,-46,-48,-58,-29,-51,-16,-43,-51,-39,1,-56,-42,-54,-82,-56,-47,-70,-88,-57,-25,65
-34,-30,-46,-44,-60,-29,-46,-7,-38,-60,-30,7,-39,-52,-52,-82,-53,-47,-61,-75,-52,-17,52
-29,-24,-37,-37,-56,-26,-39,0,-29,-62,-23,10,-20,-54,-44,-75,-50,-41,-47,-58,-40,-9,25
-18,-15,-20,-26,-47,-17,-31,8,-16,-55,-18,11,-2,-46,-32,-61,-45,-27,-28,-37,-22,0,-18
-4,-5,-1,-12,-34,-3,-25,16,-3,-41,-18,13,15,-33,-18,-40,-36,-6,-6,-16,0,5,-74
7,3,14,2,-19,12,-21,23,6,-27,-23,14,29,-20,-7,-19,-23,14,13,4,18,6,-134
14,8,21,11,-5,24,-19,27,10,-17,-29,16,39,-10,2,-2,-10,27,26,21,28,4,-187
16,10,21,16,5,30,-15,31,11,-13,-28,16,44,-4,6,12,0,28,33,32,29,0,-225
14,12,17,19,12,30,-6,36,13,-10,-21,12,43,1,9,21,5,19,37,36,25,-2,-250
11,14,10,19,16,25,4,43,13,-6,-14,7,34,4,11,26,7,5,40,30,18,0,-265
8,14,2,17,17,17,9,48,9,0,-7,0,19,8,14,31,5,-7,45,17,8,5,-275
6,12,-3,14,15,9,7,50,3,6,-1,-6,3,12,18,36,0,-16,50,2,-2,11,-283
1,8,-8,10,8,1,-1,45,-5,9,0,-13,-13,13,20,41,-10,-24,51,-14,-11,11,-292
-8,-2,-15,0,-2,-9,-13,30,-15,4,-7,-21,-29,6,18,42,-23,-34,43,-32,-22,0,-296
-26,-18,-27,-18,-17,-27,-27,4,-26,-9,-17,-33,-44,-12,9,34,-39,-47,27,-50,-34,-19,-295
-47,-36,-39,-40,-29,-48,-39,-28,-36,-25,-25,-47,-58,-33,-6,18,-52,-60,6,-65,-47,-39,-292
-59,-48,-47,-54,-33,-64,-43,-54,-40,-35,-29,-59,-67,-49,-21,-3,-59,-67,-13,-72,-53,-50,-292
-59,-50,-47,-58,-27,-70,-36,-67,-39,-34,-31,-64,-67,-54,-31,-24,-58,-63,-25,-69,-50,-49,-297
-49,-43,-43,-54,-15,-64,-27,-69,-37,-25,-32,-60,-58,-50,-36,-44,-49,-51,-29,-58,-41,-38,-303
-36,-32,-33,-45,-4,-53,-18,-64,-35,-14,-29,-48,-42,-41,-37,-59,-38,-38,-32,-42,-30,-23,-303
-22,-21,-19,-34,1,-39,-11,-55,-33,-8,-22,-33,-22,-32,-36,-68,-27,-28,-35,-26,-20,-10,-294
-14,-12,-6,-27,-1,-28,-7,-46,-30,-10,-15,-16,-2,-26,-34,-71,-17,-19,-38,-16,-10,2,-281
-15,-9,2,-24,-7,-21,-6,-40,-25,-17,-9,-1,16,-23,-33,-68,-6,-11,-39,-11,-5,13,-270
-20,-9,7,-23,-16,-17,-4,-37,-18,-24,-2,11,31,-21,-30,-59,5,-2,-36,-5,-4,24,-247
-27,-12,6,-20,-26,-13,-1,-34,-11,-27,1,16,42,-18,-25,-47,10,6,-28,9,-4,31,-167
-32,-16,-2,-17,-37,-7,0,-34,-3,-27,-2,13,47,-13,-22,-35,9,12,-20,27,-2,31,19
-34,-19,-11,-14,-47,2,-3,-33,2,-25,-8,7,46,-10,-18,-26,6,17,-11,44,2,23,323
-32,-16,-17,-8,-54,13,-10,-30,6,-20,-9,2,41,-9,-11,-17,9,17,-2,53,8,8,694
-24,-8,-15,4,-54,23,-16,-24,10,-11,-2,1,34,-9,-2,-6,17,15,5,52,16,-11,1036
-6,8,-5,22,-43,38,-17,-12,21,4,11,6,29,-6,12,10,32,17,15,42,30,-20,1228
21,33,18,49,-15,57,-7,9,40,26,30,19,31,5,34,34,56,24,33,28,51,-15,1155
53,61,47,81,24,78,11,38,62,53,52,37,40,22,60,63,78,35,57,15,74,2,784
79,82,70,108,60,92,31,65,76,76,67,51,48,41,81,87,88,41,79,7,89,21,203
93,91,80,120,84,97,44,83,81,87,73,53,51,54,91,97,81,39,90,5,91,35,-432
94,89,76,118,93,94,49,85,78,87,70,47,47,58,88,91,65,32,87,3,85,43,-963
87,79,62,104,90,85,49,74,70,83,62,38,37,56,77,73,49,21,73,0,71,44,-1279
72,63,44,86,77,71,46,54,59,77,52,26,25,49,62,50,37,9,51,-1,52,39,-1335
56,44,24,66,56,57,42,28,46,71,40,10,11,38,46,27,28,-3,25,1,32,32,-1163
40,24,6,45,35,42,36,0,30,63,25,-5,-6,27,30,8,19,-16,1,2,17,21,-863
26,6,-7,25,14,25,25,-22,10,51,9,-16,-22,16,15,-4,10,-26,-16,-3,4,8,-547
13,-8,-16,7,-3,9,11,-37,-11,35,-8,-19,-34,7,3,-9,0,-34,-27,-12,-11,-5,-294
1,-18,-22,-10,-18,-4,-4,-43,-30,18,-24,-15,-40,-1,-10,-12,-10,-38,-36,-22,-29,-16,-139
-9,-24,-24,-25,-29,-11,-17,-44,-39,7,-36,-6,-41,-9,-23,-13,-13,-38,-45,-34,-46,-24,-72
-15,-24,-21,-33,-34,-9,-26,-39,-38,6,-39,6,-36,-14,-32,-13,-7,-32,-51,-43,-58,-24,-57
-17,-19,-14,-34,-36,-2,-31,-29,-33,11,-34,15,-28,-15,-34,-14,5,-21,-53,-40,-67,-18,-56
-18,-14,-9,-31,-38,7,-36,-19,-32,16,-25,16,-22,-12,-32,-19,18,-11,-52,-24,-71,-12,-49
-19,-11,-6,-26,-40,15,-37,-11,-35,20,-17,13,-17,-8,-28,-27,24,-2,-49,-4,-70,-11,-32
-18,-6,-4,-17,-39,23,-35,-4,-38,23,-11,13,-9,-3,-22,-34,26,10,-40,15,-60,-12,-8
-16,1,-1,-5,-33,28,-29,7,-37,25,-6,18,3,2,-14,-37,24,20,-25,31,-47,-13,15
-14,8,2,4,-26,27,-19,18,-31,24,-4,22,17,5,-9,-34,21,24,-8,42,-32,-12,31
-13,13,6,10,-19,22,-10,28,-17,23,-4,21,31,5,-7,-26,18,22,6,46,-18,-8,44
-14,15,7,11,-13,13,-6,33,-2,20,-5,15,38,0,-8,-15,15,14,18,43,-8,-1,61
-17,12,4,7,-9,1,-10,31,8,13,-5,4,37,-7,-10,-4,11,1,26,37,-3,5,81
-18,7,-5,4,-7,-10,-17,22,9,4,-7,-11,29,-13,-11,5,8,-14,30,28,-2,7,102
-17,2,-14,4,-4,-13,-23,10,5,-2,-8,-23,20,-17,-10,14,6,-23,31,17,-1,5,118
