FP1,FP2,PG1,PG2,F7,F3,F2,F4,F8,C3,C2,C4,P3,P4,P2,T3,T4,T5,T6,O1,OZ,O2,ECG
-20,-5,-12,-23,-35,-34,-47,-44,-40,-42,-6,8,-14,1,-6,-19,0,-9,-19,-23,-26,-37,167
-6,12,2,-5,-32,-18,-42,-34,-34,-33,-6,11,-14,7,-1,-12,9,-6,-20,-15,-14,-40,213
10,32,18,15,-21,0,-29,-21,-26,-21,-5,13,-11,20,5,-5,19,0,-16,0,-1,-40,261
26,49,30,32,-7,16,-13,-6,-13,-5,-2,13,-5,35,13,4,31,11,-8,18,10,-35,310
40,64,36,46,4,29,1,9,1,11,3,13,1,49,24,14,41,27,4,31,16,-24,359
49,72,36,53,9,35,9,22,12,23,9,12,5,56,36,24,46,42,15,37,17,-11,401
51,73,32,53,8,36,12,31,20,27,17,9,6,57,49,33,44,51,22,37,16,-1,432
49,67,26,52,7,35,14,36,23,27,24,7,5,52,60,39,33,52,26,36,17,5,458
41,54,17,50,8,31,13,36,21,23,27,0,1,45,65,42,15,44,27,32,17,7,488
26,36,1,42,10,20,6,28,12,15,23,-14,-10,34,55,36,-9,26,22,22,13,3,529
6,16,-20,27,11,4,-7,11,-5,3,14,-33,-25,19,34,23,-34,3,13,9,6,-3,589
-11,-1,-41,9,9,-12,-20,-11,-21,-8,6,-49,-38,4,11,8,-52,-15,5,-5,1,-6,662
-20,-9,-55,-7,4,-24,-27,-31,-31,-13,0,-56,-41,-7,-3,0,-61,-22,-1,-16,1,-4,735
-20,-11,-59,-17,-1,-31,-23,-43,-34,-12,-2,-54,-31,-10,-6,-1,-59,-20,-2,-20,5,4,794
-11,-7,-51,-21,-3,-31,-5,-46,-28,-7,4,-42,-9,-6,0,2,-48,-8,1,-16,14,17,835
3,0,-32,-18,0,-25,23,-40,-18,1,14,-25,19,3,10,4,-33,8,5,-7,23,30,868
13,3,-10,-16,5,-15,48,-29,-9,5,23,-9,42,10,14,3,-22,21,6,-1,24,41,901
12,-1,4,-18,7,-6,59,-20,-8,1,24,-1,50,9,9,-4,-20,24,1,-3,15,45,932
2,-9,12,-24,7,1,54,-17,-13,-10,21,1,45,0,-4,-17,-26,21,-12,-9,-1,42,955
-8,-15,15,-28,5,9,38,-18,-20,-20,18,2,31,-10,-17,-30,-29,16,-26,-13,-17,31,959
-11,-13,17,-24,4,18,21,-15,-24,-22,17,4,19,-13,-23,-36,-25,11,-36,-13,-27,18,934
-3,-4,21,-10,7,27,8,-9,-22,-14,21,7,14,-1,-17,-31,-10,9,-36,-5,-28,6,879
15,12,31,11,11,35,2,1,-15,3,30,10,15,20,-2,-18,15,13,-27,6,-23,-4,802
33,28,41,32,13,39,-2,8,-8,19,38,8,17,40,13,-3,44,19,-17,12,-19,-15,716
43,38,47,44,8,38,-9,11,-7,26,37,-3,12,48,21,8,64,25,-12,10,-21,-26,626
39,37,45,47,-3,30,-22,12,-12,21,24,-20,2,39,18,11,68,25,-15,3,-31,-38,528
25,30,35,40,-19,19,-37,14,-20,7,2,-36,-8,21,6,7,53,20,-25,-3,-44,-49,420
10,22,20,31,-32,10,-46,19,-24,-6,-20,-43,-12,1,-8,-1,31,15,-34,-2,-54,-55,303
2,19,5,27,-36,7,-43,28,-21,-12,-36,-41,-7,-9,-16,-6,11,13,-33,4,-51,-50,186
3,22,-6,28,-29,9,-31,38,-9,-7,-44,-33,4,-8,-15,-3,-1,13,-21,15,-34,-34,71
10,26,-13,29,-16,13,-18,39,5,2,-46,-23,13,-2,-8,8,-5,15,-2,23,-8,-13,-47
18,28,-18,30,-3,16,-11,28,19,10,-45,-17,12,2,3,23,-1,17,14,22,15,5,-165
25,29,-19,31,9,16,-8,11,27,16,-42,-13,2,5,15,38,5,20,22,13,33,20,-274
28,31,-16,33,19,16,-6,0,30,20,-33,-9,-10,9,27,47,10,24,26,3,45,32,-363
29,33,-11,33,24,14,-1,0,27,25,-18,-1,-20,14,35,49,10,27,25,-3,51,40,-428
27,33,-8,28,22,12,6,3,21,28,0,9,-26,17,35,41,4,29,21,-9,48,41,-464
25,31,-7,20,16,9,16,7,15,31,18,19,-27,18,29,26,-2,33,15,-14,41,38,-477
28,28,-3,9,13,6,27,10,11,36,33,25,-25,16,19,10,-5,35,12,-16,35,36,-483
31,21,2,-5,11,0,33,7,8,35,37,24,-22,14,9,-5,-3,33,7,-20,24,31,-498
33,13,7,-18,9,-9,31,-4,2,29,29,16,-20,13,0,-18,2,28,-3,-26,6,21,-523
36,11,16,-24,9,-19,26,-14,-2,22,15,9,-13,22,0,-24,12,26,-12,-26,-12,10,-546
36,14,26,-21,9,-25,21,-15,-5,19,2,3,-5,37,8,-24,21,27,-15,-22,-22,3,-561
24,11,27,-20,-1,-32,10,-16,-14,9,-13,-8,-2,42,9,-25,19,22,-18,-19,-31,-9,-574
-3,-6,14,-28,-28,-42,-12,-26,-30,-12,-31,-24,-8,28,-4,-32,1,10,-27,-22,-43,-29,-586
-33,-31,-9,-38,-59,-48,-38,-41,-46,-35,-46,-38,-18,2,-25,-39,-21,-1,-37,-27,-52,-50,-591
-53,-50,-30,-44,-80,-46,-58,-51,-53,-51,-49,-41,-24,-24,-42,-39,-33,-5,-39,-26,-52,-62,-580
-62,-56,-43,-41,-85,-35,-68,-52,-50,-58,-39,-35,-21,-40,-47,-34,-30,-3,-31,-18,-46,-62,-554
-60,-49,-50,-34,-77,-22,-70,-47,-42,-57,-23,-24,-10,-45,-43,-28,-17,3,-18,-4,-40,-53,-518
-52,-34,-51,-24,-60,-8,-68,-38,-30,-47,-7,-9,4,-38,-31,-20,3,11,-3,13,-34,-39,-483
-40,-15,-47,-16,-38,3,-63,-26,-14,-28,7,5,17,-23,-15,-9,22,17,12,28,-26,-20,-456
-30,2,-42,-14,-20,10,-56,-15,0,-10,15,15,24,-8,-1,1,33,18,22,37,-18,0,-443
-24,8,-39,-18,-9,12,-50,-10,11,0,15,18,23,2,5,9,35,14,25,37,-13,15,-439
-20,6,-38,-23,-2,10,-42,-7,20,2,9,15,13,7,6,14,30,9,22,31,-8,24,-436
-15,3,-37,-27,4,8,-32,-3,29,-3,3,8,0,10,7,13,22,3,18,20,1,28,-426
-12,-1,-37,-31,9,3,-20,0,34,-12,-2,-2,-15,8,6,6,11,-6,15,5,10,29,-414
-13,-9,-42,-38,7,-7,-12,-2,31,-24,-8,-17,-29,-2,0,-7,-4,-16,10,-11,15,25,-406
-17,-21,-54,-48,0,-19,-8,-8,23,-35,-16,-34,-37,-16,-10,-22,-21,-24,4,-24,16,19,-402
-20,-33,-68,-59,-5,-31,-5,-16,16,-39,-23,-44,-36,-28,-19,-31,-35,-25,0,-31,17,14,-400
-20,-38,-75,-65,-5,-40,1,-22,11,-35,-24,-45,-28,-35,-23,-29,-39,-22,0,-29,19,13,-393
-17,-36,-74,-64,-1,-43,8,-28,9,-26,-19,-39,-17,-34,-20,-19,-35,-16,5,-22,19,16,-376
-12,-29,-62,-59,0,-44,9,-35,5,-17,-11,-31,-9,-29,-15,-7,-27,-12,8,-16,18,18,-356
-7,-21,-44,-54,-4,-46,2,-44,-7,-13,-5,-25,-11,-20,-11,0,-21,-16,7,-19,11,15,-345
-2,-15,-26,-53,-17,-52,-16,-56,-29,-14,-2,-25,-23,-11,-9,0,-21,-27,-3,-30,-3,8,-347
2,-12,-15,-57,-37,-59,-40,-70,-57,-18,-3,-31,-37,-3,-8,-2,-25,-37,-18,-44,-20,-3,-356
6,-9,-11,-61,-58,-62,-62,-78,-79,-19,-5,-39,-48,5,-7,-6,-28,-41,-33,-54,-35,-15,-357
11,-5,-8,-63,-71,-59,-75,-79,-87,-17,-6,-42,-52,15,-5,-12,-25,-36,-42,-54,-43,-27,-338
16,2,-3,-63,-72,-51,-77,-73,-79,-13,-6,-37,-51,24,-3,-20,-16,-26,-44,-46,-44,-35,-297
21,12,7,-58,-66,-38,-72,-62,-60,-8,-4,-24,-42,30,1,-25,-3,-14,-40,-33,-38,-36,-242
25,23,20,-47,-58,-21,-63,-45,-34,-4,-3,-4,-24,35,5,-25,10,-3,-31,-18,-28,-32,-197
28,30,30,-31,-51,-2,-54,-24,-8,-3,-4,18,-3,37,8,-21,18,6,-22,-4,-17,-27,-180
27,32,30,-14,-45,15,-48,-1,9,-4,-6,36,17,34,7,-11,22,10,-11,4,-5,-22,-194
25,32,19,7,-39,32,-43,24,15,-6,-5,46,33,26,8,5,24,13,2,9,9,-17,-222
27,36,8,32,-27,51,-36,51,18,-2,4,53,45,20,14,24,31,16,20,14,27,-11,-246
37,48,8,60,-7,72,-24,76,27,9,22,60,51,21,27,42,43,20,43,22,49,-3,-251
54,65,21,86,23,92,-9,97,43,29,45,68,52,31,45,59,58,27,66,33,72,10,-238
76,85,44,107,54,109,9,110,62,54,69,77,50,47,67,74,72,34,88,46,90,29,-217
96,102,68,123,79,120,27,116,83,79,88,86,50,65,89,87,82,41,103,57,99,50,-203
