Time,P3
2.90234375,-22
2.90625,-2
2.91015625,15
2.9140625,25
2.91796875,28
2.921875,28
2.92578125,30
2.9296875,35
2.93359375,33
2.9375,17
2.94140625,-8
2.9453125,-32
2.94921875,-50
2.953125,-60
2.95703125,-61
2.9609375,-54
2.96484375,-43
2.96875,-32
2.97265625,-23
2.9765625,-16
2.98046875,-12
2.984375,-13
2.98828125,-16
2.9921875,-20
2.99609375,-21
3.0,-19
3.00390625,-18
3.0078125,-17
3.01171875,-14
3.015625,-7
3.01953125,3
3.0234375,15
3.02734375,26
3.03125,31
3.03515625,26
3.0390625,11
3.04296875,-9
3.046875,-28
3.05078125,-44
3.0546875,-60
3.05859375,-74
3.0625,-84
3.06640625,-89
3.0703125,-92
3.07421875,-90
3.078125,-78
3.08203125,-63
3.0859375,-49
3.08984375,-36
3.09375,-21
3.09765625,-11
3.1015625,-9
3.10546875,-12
3.109375,-17
3.11328125,-20
3.1171875,-23
3.12109375,-27
3.125,-34
3.12890625,-46
3.1328125,-63
3.13671875,-83
3.140625,-100
3.14453125,-113
3.1484375,-116
3.15234375,-109
3.15625,-94
3.16015625,-73
3.1640625,-49
3.16796875,-21
3.171875,6
3.17578125,29
3.1796875,46
3.18359375,57
3.1875,60
3.19140625,51
3.1953125,34
3.19921875,17
3.203125,5
3.20703125,0
3.2109375,0
3.21484375,2
3.21875,0
3.22265625,-12
3.2265625,-33
3.23046875,-56
3.234375,-74
3.23828125,-78
3.2421875,-64
3.24609375,-39
3.25,-13
3.25390625,4
3.2578125,8
3.26171875,-2
3.265625,-20
3.26953125,-35
3.2734375,-35
3.27734375,-16
3.28125,12
3.28515625,32
3.2890625,37
3.29296875,25
3.296875,2
3.30078125,-30
3.3046875,-60
3.30859375,-78
3.3125,-82
3.31640625,-76
3.3203125,-66
3.32421875,-52
3.328125,-34
3.33203125,-13
3.3359375,9
3.33984375,30
3.34375,49
3.34765625,65
3.3515625,72
3.35546875,63
3.359375,44
3.36328125,25
3.3671875,12
3.37109375,4
3.375,-4
3.37890625,-13
