Time,FP1
2.578125,45
2.58203125,40
2.5859375,39
2.58984375,39
2.59375,38
2.59765625,40
2.6015625,43
2.60546875,43
2.609375,41
2.61328125,42
2.6171875,46
2.62109375,46
2.625,40
2.62890625,29
2.6328125,19
2.63671875,12
2.640625,10
2.64453125,15
2.6484375,24
2.65234375,32
2.65625,35
2.66015625,36
2.6640625,35
2.66796875,30
2.671875,19
2.67578125,5
2.6796875,-9
2.68359375,-17
2.6875,-17
2.69140625,-10
2.6953125,1
2.69921875,11
2.703125,16
2.70703125,16
2.7109375,16
2.71484375,20
2.71875,27
2.72265625,33
2.7265625,33
2.73046875,24
2.734375,6
2.73828125,-17
2.7421875,-38
2.74609375,-51
2.75,-56
2.75390625,-52
2.7578125,-44
2.76171875,-32
2.765625,-19
2.76953125,-9
2.7734375,-1
2.77734375,2
2.78125,3
2.78515625,2
2.7890625,5
2.79296875,14
2.796875,27
2.80078125,36
2.8046875,38
2.80859375,34
2.8125,28
2.81640625,20
2.8203125,14
2.82421875,9
2.828125,4
2.83203125,-7
2.8359375,-19
2.83984375,-28
2.84375,-29
2.84765625,-27
2.8515625,-24
2.85546875,-23
2.859375,-23
2.86328125,-20
2.8671875,-15
2.87109375,-5
2.875,8
2.87890625,15
2.8828125,13
2.88671875,4
2.890625,-6
2.89453125,-12
2.8984375,-10
2.90234375,0
2.90625,12
2.91015625,19
2.9140625,19
2.91796875,14
2.921875,8
2.92578125,2
2.9296875,-3
2.93359375,-8
2.9375,-12
2.94140625,-15
2.9453125,-12
2.94921875,-3
2.953125,10
2.95703125,22
2.9609375,27
2.96484375,29
2.96875,29
2.97265625,27
2.9765625,23
2.98046875,16
2.984375,6
2.98828125,-7
2.9921875,-19
2.99609375,-25
3.0,-25
3.00390625,-18
3.0078125,-9
3.01171875,-5
3.015625,-5
3.01953125,-8
3.0234375,-10
3.02734375,-11
3.03125,-6
3.03515625,5
3.0390625,16
3.04296875,19
3.046875,12
3.05078125,-3
3.0546875,-22
3.05859375,-41
3.0625,-53
3.06640625,-54
3.0703125,-46
3.07421875,-30
3.078125,-10
3.08203125,10
3.0859375,26
3.08984375,33
3.09375,30
3.09765625,19
3.1015625,5
3.10546875,-9
3.109375,-21
3.11328125,-27
3.1171875,-26
3.12109375,-22
3.125,-20
3.12890625,-20
3.1328125,-20
3.13671875,-18
3.140625,-14
3.14453125,-5
3.1484375,8
3.15234375,19
3.15625,23
3.16015625,19
3.1640625,11
3.16796875,5
3.171875,5
3.17578125,11
3.1796875,17
3.18359375,20
3.1875,14
3.19140625,1
3.1953125,-14
3.19921875,-24
3.203125,-29
3.20703125,-32
3.2109375,-36
3.21484375,-43
3.21875,-50
3.22265625,-55
3.2265625,-51
3.23046875,-37
3.234375,-18
3.23828125,-2
3.2421875,8
3.24609375,16
3.25,24
3.25390625,30
3.2578125,32
3.26171875,27
3.265625,13
3.26953125,-7
3.2734375,-24
3.27734375,-31
3.28125,-25
3.28515625,-14
3.2890625,-9
3.29296875,-12
3.296875,-21
3.30078125,-29
3.3046875,-33
3.30859375,-32
3.3125,-27
3.31640625,-26
3.3203125,-30
3.32421875,-33
3.328125,-28
3.33203125,-17
3.3359375,-6
3.33984375,-1
3.34375,-2
3.34765625,-9
3.3515625,-20
3.35546875,-27
3.359375,-26
3.36328125,-13
3.3671875,9
3.37109375,35
3.375,56
3.37890625,65
3.3828125,57
3.38671875,36
3.390625,10
3.39453125,-8
3.3984375,-13
3.40234375,-9
3.40625,-6
3.41015625,-7
3.4140625,-10
3.41796875,-10
3.421875,-6
3.42578125,2
3.4296875,12
3.43359375,17
3.4375,12
3.44140625,1
3.4453125,-11
3.44921875,-20
3.453125,-27
3.45703125,-30
3.4609375,-29
3.46484375,-29
3.46875,-31
3.47265625,-33
3.4765625,-34
3.48046875,-34
3.484375,-31
3.48828125,-23
3.4921875,-11
3.49609375,0
3.5,8
3.50390625,15
3.5078125,23
3.51171875,29
3.515625,30
3.51953125,24
3.5234375,8
3.52734375,-12
3.53125,-29
3.53515625,-36
3.5390625,-36
3.54296875,-34
3.546875,-30
3.55078125,-27
3.5546875,-29
3.55859375,-35
3.5625,-41
3.56640625,-46
3.5703125,-51
3.57421875,-55
3.578125,-53
3.58203125,-42
3.5859375,-29
3.58984375,-21
3.59375,-17
3.59765625,-17
3.6015625,-15
3.60546875,-9
3.609375,2
3.61328125,10
3.6171875,12
3.62109375,4
3.625,-10
3.62890625,-24
3.6328125,-31
3.63671875,-27
3.640625,-16
3.64453125,-4
3.6484375,3
3.65234375,6
3.65625,6
3.66015625,7
3.6640625,12
3.66796875,22
3.671875,34
3.67578125,41
3.6796875,42
3.68359375,37
3.6875,28
3.69140625,17
3.6953125,10
3.69921875,8
3.703125,8
3.70703125,3
3.7109375,-9
3.71484375,-23
3.71875,-37
3.72265625,-48
3.7265625,-54
3.73046875,-53
3.734375,-46
3.73828125,-38
3.7421875,-29
3.74609375,-21
3.75,-12
3.75390625,-3
3.7578125,3
3.76171875,8
3.765625,14
3.76953125,20
3.7734375,24
3.77734375,26
3.78125,28
3.78515625,25
3.7890625,13
3.79296875,-6
3.796875,-25
3.80078125,-40
3.8046875,-48
3.80859375,-49
3.8125,-44
3.81640625,-39
3.8203125,-39
3.82421875,-43
3.828125,-44
3.83203125,-40
3.8359375,-31
3.83984375,-22
3.84375,-18
3.84765625,-16
3.8515625,-12
3.85546875,-9
3.859375,-6
3.86328125,-4
3.8671875,-5
3.87109375,-13
3.875,-30
3.87890625,-44
3.8828125,-51
3.88671875,-50
3.890625,-45
3.89453125,-37
3.8984375,-26
3.90234375,-18
3.90625,-16
3.91015625,-12
3.9140625,-5
3.91796875,1
3.921875,3
3.92578125,1
3.9296875,-3
3.93359375,-9
3.9375,-16
3.94140625,-19
3.9453125,-18
3.94921875,-17
3.953125,-17
3.95703125,-15
3.9609375,-9
3.96484375,0
3.96875,9
3.97265625,16
3.9765625,17
3.98046875,12
3.984375,3
3.98828125,-5
3.9921875,-6
3.99609375,-2
4.0,2
4.00390625,4
4.0078125,6
4.01171875,7
4.015625,7
4.01953125,9
4.0234375,13
4.02734375,19
4.03125,24
4.03515625,26
4.0390625,26
4.04296875,26
4.046875,23
4.05078125,18
4.0546875,13
4.05859375,11
4.0625,11
4.06640625,12
4.0703125,14
4.07421875,15
4.078125,12
4.08203125,4
4.0859375,-5
4.08984375,-9
4.09375,-7
4.09765625,0
4.1015625,13
4.10546875,30
4.109375,48
4.11328125,61
4.1171875,68
4.12109375,67
4.125,59
4.12890625,46
4.1328125,28
4.13671875,11
4.140625,-2
4.14453125,-11
4.1484375,-17
4.15234375,-20
4.15625,-20
4.16015625,-22
4.1640625,-30
4.16796875,-39
4.171875,-46
4.17578125,-50
4.1796875,-48
4.18359375,-39
4.1875,-28
4.19140625,-18
4.1953125,-8
4.19921875,2
4.203125,12
4.20703125,20
4.2109375,27
4.21484375,31
4.21875,30
4.22265625,28
4.2265625,28
4.23046875,28
4.234375,27
4.23828125,26
4.2421875,23
4.24609375,18
4.25,9
4.25390625,-3
4.2578125,-12
4.26171875,-16
4.265625,-11
4.26953125,2
4.2734375,18
4.27734375,28
4.28125,30
4.28515625,22
4.2890625,9
4.29296875,-2
4.296875,-11
4.30078125,-16
4.3046875,-16
4.30859375,-14
4.3125,-8
4.31640625,-1
4.3203125,4
4.32421875,3
4.328125,-4
4.33203125,-17
4.3359375,-28
4.33984375,-33
4.34375,-33
4.34765625,-30
4.3515625,-29
4.35546875,-32
4.359375,-38
4.36328125,-46
4.3671875,-48
4.37109375,-42
4.375,-31
4.37890625,-17
4.3828125,-2
4.38671875,12
4.390625,21
4.39453125,23
