FP1,FP2,PG1,PG2,F7,F3,F2,F4,F8,C3,C2,C4,P3,P4,P2,T3,T4,T5,T6,O1,OZ,O2,ECG
-30,-35,-10,-32,-40,-22,-56,-36,-57,-4,-51,-12,-21,2,-44,-45,-35,-8,-44,-18,-59,-31,175
-30,-25,-6,-21,-31,-12,-56,-19,-41,3,-44,-11,-6,6,-39,-36,-25,2,-29,-5,-61,-32,185
-27,-14,-1,-7,-23,-3,-53,-5,-26,9,-39,-8,10,5,-32,-25,-13,11,-15,5,-57,-28,202
-20,-5,7,6,-16,7,-45,7,-12,11,-35,-6,22,1,-25,-17,0,16,-5,14,-46,-22,225
-14,2,13,14,-6,17,-34,18,0,12,-35,-5,28,-5,-19,-15,11,15,0,20,-29,-16,250
-11,4,13,16,7,25,-25,27,7,11,-38,-8,28,-13,-16,-16,16,10,0,25,-12,-11,274
-9,6,8,16,22,30,-18,35,13,11,-39,-11,27,-19,-13,-16,16,6,2,34,3,-7,297
-5,9,2,20,37,33,-14,43,19,17,-35,-14,28,-19,-8,-10,15,6,9,48,15,-3,311
1,12,-3,29,47,33,-10,45,25,28,-25,-16,30,-13,-2,4,14,13,21,59,24,3,314
6,14,-7,38,49,28,-8,39,29,37,-15,-17,31,-5,5,23,13,20,36,60,30,9,310
9,14,-9,41,45,17,-7,28,26,42,-7,-19,29,3,11,39,12,22,46,50,32,14,310
7,10,-14,33,37,2,-7,17,15,40,-4,-23,17,7,12,46,8,15,44,31,27,14,321
-3,-1,-24,13,24,-17,-10,3,-6,29,-8,-33,-8,4,5,38,-1,-3,28,3,15,7,342
-19,-18,-41,-16,10,-39,-19,-17,-36,11,-19,-47,-40,-10,-9,17,-13,-28,2,-27,-3,-7,370
-34,-35,-58,-46,-4,-57,-30,-40,-65,-4,-32,-58,-66,-29,-27,-7,-23,-50,-25,-49,-21,-19,406
-44,-46,-66,-67,-15,-65,-38,-62,-84,-12,-40,-63,-80,-47,-40,-26,-27,-62,-46,-59,-33,-25,444
-48,-53,-62,-78,-28,-66,-42,-80,-90,-14,-42,-63,-83,-60,-49,-38,-25,-63,-58,-59,-41,-24,481
-50,-56,-50,-80,-43,-63,-45,-95,-91,-15,-40,-60,-79,-67,-54,-46,-19,-58,-63,-57,-48,-23,515
-50,-56,-34,-78,-55,-60,-43,-102,-89,-13,-34,-52,-70,-66,-55,-53,-10,-51,-61,-54,-55,-24,548
-45,-51,-17,-72,-60,-55,-35,-94,-84,-7,-23,-43,-60,-56,-51,-56,-2,-42,-54,-50,-59,-26,582
-39,-44,-2,-63,-60,-48,-26,-76,-79,-2,-11,-36,-52,-43,-46,-56,3,-34,-45,-46,-60,-30,615
-34,-39,8,-54,-56,-40,-20,-57,-75,-1,-5,-30,-45,-33,-42,-53,3,-27,-35,-41,-55,-35,644
-30,-32,15,-44,-47,-29,-16,-39,-66,-1,-1,-19,-33,-24,-37,-48,2,-20,-24,-32,-44,-37,671
-26,-22,23,-32,-36,-13,-13,-21,-48,1,4,-4,-14,-16,-30,-39,4,-9,-12,-16,-29,-30,704
-22,-11,31,-17,-28,5,-8,-5,-24,1,8,10,7,-11,-22,-32,10,0,-3,1,-16,-20,742
-21,-2,34,-1,-23,21,0,9,0,0,10,23,25,-9,-15,-26,20,7,4,14,-5,-10,784
-17,8,36,19,-17,38,11,26,25,2,15,34,42,-3,-5,-16,34,12,13,27,5,0,830
-6,19,37,42,-7,54,25,45,49,10,24,41,56,8,10,1,46,18,25,38,13,12,878
6,26,34,61,6,64,34,63,65,21,30,40,62,20,24,22,52,22,34,41,18,22,919
15,28,26,74,19,64,34,71,69,31,27,34,58,26,33,40,47,23,39,36,22,28,950
23,26,16,78,31,55,26,68,64,38,21,27,46,28,36,52,37,20,38,23,25,28,971
27,21,8,75,35,40,14,54,55,41,13,18,27,26,33,55,24,14,32,2,24,21,986
27,14,2,67,32,22,3,32,44,39,2,7,0,20,25,50,9,5,20,-23,20,7,992
27,7,-1,58,23,5,-2,7,31,35,-10,-5,-29,14,16,39,-5,-6,9,-43,16,-10,989
27,3,0,47,13,-8,-5,-16,18,33,-20,-17,-53,12,10,27,-14,-15,2,-54,11,-27,974
26,-2,0,33,2,-18,-9,-35,0,30,-31,-26,-71,13,4,15,-22,-23,-6,-58,0,-43,948
21,-10,-7,14,-9,-30,-21,-54,-26,26,-47,-35,-85,11,-4,2,-33,-31,-17,-64,-20,-55,906
10,-21,-22,-11,-20,-43,-41,-74,-59,20,-65,-41,-98,4,-16,-13,-45,-36,-33,-73,-43,-64,842
-2,-30,-39,-36,-29,-56,-62,-90,-88,14,-78,-42,-105,-5,-28,-29,-54,-37,-50,-84,-63,-67,753
-13,-36,-54,-56,-36,-65,-79,-99,-106,7,-81,-39,-106,-15,-37,-42,-58,-37,-66,-93,-77,-65,639
-21,-38,-64,-68,-41,-70,-88,-99,-114,3,-77,-34,-100,-22,-41,-51,-60,-35,-77,-96,-84,-57,504
-26,-35,-69,-69,-45,-68,-89,-93,-112,1,-69,-30,-88,-24,-42,-55,-59,-30,-81,-92,-82,-46,355
-29,-30,-68,-62,-50,-63,-83,-79,-105,1,-63,-27,-70,-23,-43,-58,-56,-24,-78,-83,-74,-34,201
-32,-26,-65,-51,-57,-58,-77,-62,-97,-1,-61,-27,-51,-21,-44,-61,-53,-19,-71,-70,-65,-23,55
-37,-24,-62,-40,-65,-55,-73,-49,-88,-7,-63,-28,-36,-22,-47,-63,-52,-15,-64,-58,-59,-16,-75
-39,-21,-59,-31,-68,-54,-71,-42,-76,-13,-65,-29,-26,-22,-47,-62,-48,-7,-56,-44,-55,-11,-186
-36,-14,-49,-22,-62,-53,-64,-34,-57,-18,-61,-29,-20,-21,-44,-56,-39,4,-47,-24,-50,-8,-282
-29,-4,-35,-14,-50,-49,-54,-25,-35,-21,-53,-30,-13,-20,-36,-45,-26,14,-38,1,-44,-5,-366
-20,4,-19,-6,-34,-41,-42,-14,-16,-21,-44,-32,-4,-19,-25,-30,-11,20,-30,24,-36,0,-441
-8,10,-5,5,-15,-27,-27,3,1,-17,-35,-32,10,-16,-15,-12,4,25,-21,41,-24,8,-506
4,14,5,18,5,-13,-13,25,13,-8,-28,-31,25,-11,-6,4,19,28,-10,52,-9,15,-558
10,15,8,28,20,-2,-2,50,18,0,-24,-28,34,-9,-2,12,29,28,1,54,2,20,-596
12,15,5,34,31,4,5,70,20,9,-22,-24,36,-7,1,15,32,24,13,52,7,24,-618
15,17,0,38,39,7,14,82,24,19,-17,-18,33,-5,5,17,32,18,27,49,12,26,-625
19,24,-4,37,45,9,26,86,30,31,-8,-13,27,-2,11,21,29,12,38,48,18,26,-617
23,29,-8,32,47,11,38,82,36,39,0,-10,20,0,18,28,25,5,45,45,23,25,-600
25,30,-11,26,47,13,47,74,42,43,7,-9,16,2,24,40,19,-2,47,41,27,27,-579
27,28,-11,23,48,16,55,66,50,45,16,-7,18,6,30,55,17,-5,48,38,33,34,-558
28,27,-9,25,55,17,61,60,60,49,28,0,24,14,36,65,18,0,48,39,43,46,-538
27,25,-4,26,61,15,62,55,66,51,37,10,30,20,39,65,20,6,46,38,50,59,-517
23,21,2,21,60,7,56,44,62,47,39,19,33,20,37,51,18,8,39,31,51,70,-498
18,15,7,9,49,-3,44,26,53,38,33,24,32,16,30,27,14,5,29,18,48,70,-480
15,9,10,-7,30,-12,32,6,40,26,24,26,27,9,22,1,12,1,16,3,45,58,-462
14,4,12,-22,7,-17,19,-12,24,13,14,27,21,4,14,-19,12,0,1,-9,40,38,-447
15,2,14,-31,-16,-17,7,-24,8,3,6,28,17,4,7,-30,15,1,-13,-11,31,16,-440
19,4,18,-30,-31,-10,-2,-27,-2,0,5,31,18,10,4,-29,21,7,-21,-2,22,-3,-443
23,11,28,-19,-36,1,-5,-25,-5,2,11,37,24,20,5,-20,28,18,-22,14,18,-13,-453
24,17,41,-5,-35,13,-7,-20,-9,4,19,44,33,28,8,-10,35,29,-20,30,16,-17,-464
21,18,52,6,-33,21,-12,-15,-15,4,24,47,39,30,10,-2,39,34,-15,35,13,-19,-469
17,17,57,12,-30,24,-16,-10,-18,1,25,44,41,29,13,6,44,33,-7,32,10,-24,-463
16,16,56,17,-25,27,-18,-2,-17,0,24,39,39,28,18,16,49,33,7,28,11,-27,-447
18,20,48,25,-17,33,-16,9,-13,6,19,36,33,28,25,28,52,33,21,27,13,-25,-426
