FP1,FP2,PG1,PG2,F7,F3,F2,F4,F8,C3,C2,C4,P3,P4,P2,T3,T4,T5,T6,O1,OZ,O2,ECG
17,29,17,36,17,55,42,85,99,47,64,98,92,29,40,42,44,55,106,46,111,92,-330
4,16,9,23,13,45,43,86,107,34,53,99,106,19,29,42,37,65,108,66,125,108,-337
-7,2,2,9,10,35,46,84,112,20,41,96,116,8,15,40,29,73,106,85,135,122,-343
-17,-12,-5,-5,7,24,52,80,113,6,28,91,123,-4,0,38,20,78,99,102,139,131,-349
-26,-24,-13,-18,5,15,58,73,113,-7,17,82,126,-15,-14,35,10,81,88,116,139,137,-352
-34,-34,-20,-29,4,8,63,64,110,-17,8,73,127,-23,-25,31,1,81,75,125,134,140,-348
-41,-40,-26,-37,4,2,66,56,105,-26,0,63,126,-27,-32,27,-7,79,60,131,127,139,-334
-45,-43,-30,-42,4,-3,66,47,98,-33,-8,52,122,-26,-34,21,-14,75,44,132,116,135,-313
-48,-44,-31,-47,4,-9,61,38,88,-37,-17,40,114,-24,-33,14,-20,68,27,129,102,126,-275
-47,-42,-31,-49,1,-14,52,28,75,-41,-25,28,102,-21,-29,6,-24,60,10,121,87,114,-192
-45,-40,-29,-51,-3,-19,40,18,59,-42,-32,17,87,-19,-25,-1,-28,52,-6,110,70,100,-20
-41,-37,-27,-51,-10,-23,21,6,39,-41,-37,5,68,-19,-22,-9,-30,43,-21,94,50,81,282
-39,-35,-27,-51,-23,-29,-4,-11,13,-42,-42,-9,42,-22,-22,-16,-33,31,-36,70,27,56,735
-39,-36,-30,-51,-39,-38,-36,-31,-17,-43,-48,-27,11,-27,-25,-25,-37,15,-52,39,0,25,1320
-40,-36,-33,-49,-56,-46,-69,-52,-49,-42,-52,-47,-23,-32,-28,-31,-40,-2,-67,4,-29,-10,1950
-36,-33,-33,-42,-69,-53,-97,-70,-78,-38,-53,-65,-54,-32,-27,-35,-40,-20,-77,-32,-56,-44,2470
-26,-22,-27,-31,-74,-54,-115,-81,-99,-27,-49,-77,-80,-24,-19,-33,-32,-35,-81,-65,-78,-73,2706
-8,-5,-12,-14,-68,-47,-119,-82,-107,-9,-38,-79,-95,-9,-4,-25,-18,-47,-76,-91,-91,-92,2547
17,17,10,8,-50,-32,-105,-69,-99,14,-19,-70,-98,12,18,-12,3,-51,-61,-105,-93,-97,1996
43,41,36,33,-22,-10,-77,-45,-79,39,5,-51,-88,35,41,5,27,-48,-39,-108,-84,-91,1181
65,62,60,56,8,14,-43,-17,-52,60,29,-28,-71,55,60,21,49,-40,-14,-102,-69,-76,310
78,74,76,72,33,34,-12,11,-24,74,48,-4,-51,68,71,33,64,-30,8,-92,-50,-57,-397
82,79,83,80,50,49,13,34,2,79,59,17,-30,72,74,42,71,-19,27,-77,-30,-38,-802
79,77,82,80,57,58,28,52,23,77,63,35,-12,70,70,46,72,-8,42,-61,-11,-20,-899
72,69,75,74,57,61,35,63,38,70,61,49,4,63,62,48,67,2,53,-45,7,-3,-788
61,59,64,64,50,61,35,68,49,60,56,58,16,52,51,48,60,11,60,-32,23,10,-604
49,48,52,53,41,58,35,71,56,50,49,65,25,40,40,47,52,19,65,-21,36,20,-441
38,37,41,43,34,54,37,72,63,40,43,68,34,30,30,46,45,25,68,-11,46,30,-340
27,25,30,32,29,48,43,73,70,30,36,67,42,21,20,43,37,31,68,-1,54,39,-292
15,12,20,19,27,39,52,72,78,19,28,64,49,11,10,38,27,36,64,10,59,48,-273
2,0,11,7,26,30,62,71,85,7,19,58,55,0,-1,31,15,40,58,22,64,57,-262
-9,-12,6,-4,28,22,71,70,91,-5,10,54,63,-11,-11,23,3,43,51,34,68,66,-250
-18,-22,3,-13,30,17,77,69,96,-16,4,50,70,-21,-21,16,-9,45,44,46,73,75,-236
-26,-29,3,-19,31,14,78,66,98,-24,-2,48,75,-30,-29,10,-19,46,39,55,77,83,-222
-30,-33,4,-23,29,12,73,61,96,-29,-7,45,78,-35,-35,6,-25,46,35,61,79,88,-204
-30,-32,4,-24,26,11,65,54,90,-32,-12,42,78,-35,-37,4,-27,44,30,63,78,89,-178
-29,-29,3,-25,20,8,54,45,82,-32,-17,37,75,-32,-36,3,-27,41,24,61,72,86,-143
-25,-24,-1,-26,12,3,40,32,70,-31,-22,29,67,-26,-33,1,-25,36,16,56,62,78,-109
-20,-18,-6,-27,3,-4,24,17,55,-29,-26,18,55,-21,-28,-2,-23,29,4,46,47,66,-82
-14,-12,-11,-28,-8,-12,7,1,38,-28,-29,4,41,-19,-23,-7,-23,20,-9,33,29,51,-59
-9,-7,-13,-28,-19,-22,-12,-17,20,-26,-29,-11,24,-18,-19,-14,-25,10,-24,18,9,33,-32
-5,-2,-14,-26,-29,-30,-31,-34,1,-25,-29,-25,8,-19,-17,-21,-27,-1,-37,4,-10,16,0
-1,3,-12,-22,-37,-36,-49,-49,-17,-22,-27,-36,-9,-20,-15,-26,-29,-10,-48,-8,-26,1,36
3,7,-9,-15,-42,-38,-63,-59,-34,-18,-23,-44,-23,-19,-13,-28,-29,-17,-53,-17,-38,-11,71
6,12,-4,-6,-44,-36,-71,-63,-45,-12,-18,-48,-33,-15,-9,-26,-27,-22,-55,-22,-44,-19,102
11,17,1,6,-42,-29,-73,-60,-51,-4,-12,-47,-39,-9,-3,-22,-23,-25,-52,-24,-47,-22,130
17,23,7,18,-36,-20,-68,-51,-51,5,-5,-43,-40,0,4,-16,-18,-25,-48,-24,-46,-23,159
23,29,14,29,-27,-9,-58,-39,-46,13,2,-37,-39,8,11,-9,-14,-25,-43,-23,-44,-22,192
29,34,20,38,-18,0,-45,-26,-38,20,8,-30,-36,13,16,-4,-11,-23,-38,-20,-42,-20,231
34,37,25,42,-9,7,-32,-15,-30,23,12,-24,-34,16,19,-2,-11,-22,-34,-18,-40,-19,278
36,39,27,42,-1,10,-23,-8,-24,23,13,-19,-34,16,21,-1,-13,-20,-32,-17,-39,-20,331
36,38,27,39,4,11,-16,-3,-20,21,11,-16,-36,15,21,-1,-14,-19,-30,-18,-37,-22,386
35,36,25,35,6,10,-10,0,-18,19,9,-14,-38,14,20,-1,-15,-17,-27,-19,-35,-24,437
33,32,22,30,7,8,-5,3,-15,17,6,-11,-38,14,19,-2,-13,-16,-24,-21,-32,-25,484
29,28,19,27,8,8,-1,8,-9,15,4,-6,-35,14,18,-1,-10,-14,-19,-21,-26,-22,529
24,23,17,25,9,12,6,18,2,13,5,3,-25,14,16,1,-5,-9,-11,-18,-16,-14,575
20,19,17,25,12,20,16,31,18,13,10,16,-10,12,14,5,1,-3,1,-10,-1,0,622
15,15,18,25,17,30,27,47,38,12,16,31,10,8,12,9,5,4,13,0,17,19,671
10,9,20,23,23,40,37,63,58,9,21,46,30,1,8,13,7,10,24,11,34,38,720
4,1,21,18,27,46,46,75,75,4,23,57,48,-6,2,14,5,15,31,20,49,55,762
-3,-7,22,10,30,48,52,81,87,-3,21,61,61,-15,-5,11,0,17,33,26,60,68,795
-9,-15,21,2,29,43,53,80,94,-11,14,58,67,-22,-13,6,-8,16,29,29,64,75,818
-14,-21,17,-7,24,32,49,70,93,-20,2,48,68,-27,-21,-1,-15,14,22,30,62,77,831
-17,-25,11,-15,16,17,41,55,87,-26,-11,34,64,-28,-25,-7,-19,11,14,30,57,74,834
-19,-27,2,-20,4,2,30,36,77,-28,-22,21,58,-26,-25,-10,-19,10,8,29,50,68,828
-22,-29,-9,-23,-9,-14,17,16,63,-29,-29,8,50,-21,-24,-9,-15,9,5,27,42,61,816
-27,-34,-21,-27,-22,-28,3,-3,48,-28,-32,-3,40,-18,-22,-6,-9,8,4,23,33,52,796
-35,-40,-32,-32,-34,-41,-11,-22,30,-29,-34,-12,28,-15,-23,-3,-5,6,2,16,25,40,767
-41,-46,-41,-36,-42,-50,-25,-38,11,-29,-34,-22,13,-14,-24,-1,-2,4,0,8,16,27,726
-45,-49,-45,-38,-48,-56,-38,-52,-9,-30,-34,-31,-3,-14,-24,0,-3,1,-4,-3,5,12,669
-43,-46,-45,-38,-52,-60,-53,-64,-30,-30,-34,-41,-22,-13,-23,-1,-6,-2,-10,-13,-6,-4,596
-39,-41,-43,-36,-56,-63,-70,-76,-53,-29,-36,-51,-42,-14,-21,-3,-11,-6,-18,-22,-18,-21,508
-34,-36,-42,-33,-61,-65,-90,-88,-77,-28,-38,-62,-62,-16,-19,-6,-16,-10,-28,-27,-30,-38,409
-29,-31,-42,-30,-68,-67,-110,-100,-101,-27,-41,-73,-81,-18,-17,-9,-21,-13,-39,-31,-43,-54,302
-26,-27,-43,-26,-73,-67,-127,-109,-121,-26,-43,-81,-97,-20,-16,-12,-24,-17,-49,-32,-54,-68,188
-23,-23,-43,-22,-76,-65,-137,-114,-135,-24,-42,-86,-110,-21,-16,-13,-25,-20,-56,-34,-63,-79,73
-19,-19,-41,-17,-74,-60,-140,-114,-142,-22,-40,-87,-119,-20,-14,-13,-24,-23,-61,-35,-69,-88,-41
