Time,O2
5.40234375,22
5.40625,12
5.41015625,-1
5.4140625,-11
5.41796875,-16
5.421875,-14
5.42578125,-1
5.4296875,21
5.43359375,45
5.4375,58
5.44140625,58
5.4453125,48
5.44921875,35
5.453125,24
5.45703125,21
5.4609375,25
5.46484375,30
5.46875,27
5.47265625,16
5.4765625,3
5.48046875,-11
5.484375,-26
5.48828125,-37
5.4921875,-42
5.49609375,-40
5.5,-35
5.50390625,-31
5.5078125,-30
5.51171875,-31
5.515625,-30
5.51953125,-26
5.5234375,-20
5.52734375,-12
5.53125,-5
5.53515625,-1
5.5390625,-4
5.54296875,-10
5.546875,-16
5.55078125,-21
5.5546875,-27
5.55859375,-34
5.5625,-38
5.56640625,-36
5.5703125,-32
5.57421875,-27
5.578125,-22
5.58203125,-15
5.5859375,-11
5.58984375,-11
5.59375,-16
5.59765625,-25
5.6015625,-33
5.60546875,-35
5.609375,-31
5.61328125,-24
5.6171875,-22
5.62109375,-30
5.625,-44
5.62890625,-59
5.6328125,-71
5.63671875,-77
5.640625,-76
5.64453125,-69
5.6484375,-63
5.65234375,-57
5.65625,-47
5.66015625,-33
5.6640625,-22
5.66796875,-16
5.671875,-14
5.67578125,-16
5.6796875,-21
5.68359375,-28
5.6875,-32
5.69140625,-32
5.6953125,-28
5.69921875,-23
5.703125,-22
5.70703125,-27
5.7109375,-35
5.71484375,-43
5.71875,-42
5.72265625,-25
5.7265625,1
5.73046875,23
5.734375,31
5.73828125,23
5.7421875,7
5.74609375,-12
5.75,-24
5.75390625,-28
5.7578125,-26
5.76171875,-26
5.765625,-28
5.76953125,-28
5.7734375,-26
5.77734375,-20
5.78125,-14
5.78515625,-11
5.7890625,-5
5.79296875,6
5.796875,21
5.80078125,32
5.8046875,38
5.80859375,39
5.8125,34
5.81640625,21
5.8203125,2
5.82421875,-13
5.828125,-25
5.83203125,-32
5.8359375,-30
5.83984375,-18
5.84375,-1
5.84765625,9
5.8515625,8
5.85546875,1
5.859375,-5
5.86328125,-4
5.8671875,4
5.87109375,18
5.875,34
5.87890625,45
5.8828125,49
5.88671875,51
5.890625,52
5.89453125,50
5.8984375,45
5.90234375,38
5.90625,30
5.91015625,23
5.9140625,19
5.91796875,18
5.921875,20
5.92578125,18
5.9296875,11
5.93359375,1
5.9375,-8
5.94140625,-14
5.9453125,-19
5.94921875,-22
5.953125,-24
5.95703125,-22
5.9609375,-16
5.96484375,0
5.96875,30
5.97265625,65
5.9765625,87
5.98046875,91
5.984375,79
5.98828125,57
5.9921875,29
5.99609375,3
6.0,-16
6.00390625,-24
6.0078125,-23
6.01171875,-15
6.015625,0
6.01953125,19
6.0234375,38
6.02734375,50
6.03125,55
6.03515625,57
6.0390625,57
6.04296875,52
6.046875,40
6.05078125,29
6.0546875,23
6.05859375,23
6.0625,24
6.06640625,23
6.0703125,16
6.07421875,8
6.078125,3
6.08203125,6
6.0859375,19
6.08984375,40
6.09375,56
6.09765625,60
6.1015625,49
6.10546875,32
6.109375,14
6.11328125,-2
6.1171875,-11
6.12109375,-10
6.125,-3
6.12890625,6
6.1328125,11
6.13671875,10
6.140625,-2
6.14453125,-26
6.1484375,-53
6.15234375,-73
6.15625,-80
6.16015625,-75
6.1640625,-59
6.16796875,-39
6.171875,-22
6.17578125,-10
6.1796875,-3
6.18359375,2
6.1875,3
6.19140625,-1
6.1953125,-10
6.19921875,-21
6.203125,-26
6.20703125,-23
6.2109375,-13
6.21484375,-2
6.21875,8
6.22265625,13
6.2265625,11
6.23046875,-4
6.234375,-26
6.23828125,-50
6.2421875,-67
6.24609375,-76
6.25,-75
6.25390625,-68
6.2578125,-60
6.26171875,-60
6.265625,-67
6.26953125,-77
6.2734375,-78
6.27734375,-69
6.28125,-49
6.28515625,-22
6.2890625,5
6.29296875,25
6.296875,36
6.30078125,41
6.3046875,38
6.30859375,28
6.3125,13
6.31640625,-3
6.3203125,-19
6.32421875,-32
6.328125,-44
6.33203125,-53
6.3359375,-57
6.33984375,-57
6.34375,-59
6.34765625,-63
6.3515625,-66
6.35546875,-64
6.359375,-59
6.36328125,-55
6.3671875,-48
6.37109375,-39
6.375,-31
6.37890625,-29
6.3828125,-29
6.38671875,-26
6.390625,-17
6.39453125,-3
6.3984375,14
6.40234375,31
6.40625,48
6.41015625,62
6.4140625,67
6.41796875,62
6.421875,52
6.42578125,39
6.4296875,26
6.43359375,17
6.4375,10
6.44140625,5
6.4453125,-2
6.44921875,-15
6.453125,-33
6.45703125,-53
6.4609375,-68
6.46484375,-73
6.46875,-69
6.47265625,-55
6.4765625,-34
6.48046875,-8
6.484375,17
6.48828125,37
6.4921875,48
6.49609375,50
6.5,42
6.50390625,27
6.5078125,11
6.51171875,-1
6.515625,-6
6.51953125,-9
6.5234375,-18
6.52734375,-36
6.53125,-56
6.53515625,-69
6.5390625,-73
6.54296875,-67
6.546875,-55
6.55078125,-44
6.5546875,-40
6.55859375,-40
6.5625,-39
6.56640625,-34
6.5703125,-28
6.57421875,-22
6.578125,-17
6.58203125,-15
6.5859375,-10
6.58984375,1
6.59375,15
6.59765625,26
6.6015625,31
6.60546875,31
6.609375,27
6.61328125,21
6.6171875,18
6.62109375,18
6.625,16
6.62890625,7
6.6328125,-9
6.63671875,-27
6.640625,-43
6.64453125,-49
6.6484375,-46
6.65234375,-32
6.65625,-15
6.66015625,2
6.6640625,13
6.66796875,22
6.671875,31
6.67578125,39
6.6796875,43
6.68359375,46
6.6875,49
6.69140625,48
6.6953125,39
6.69921875,22
6.703125,-3
6.70703125,-31
6.7109375,-53
6.71484375,-62
6.71875,-60
6.72265625,-56
6.7265625,-56
6.73046875,-58
6.734375,-56
6.73828125,-46
6.7421875,-29
6.74609375,-6
6.75,13
6.75390625,20
6.7578125,12
6.76171875,0
6.765625,-5
6.76953125,2
6.7734375,13
6.77734375,19
6.78125,15
6.78515625,4
6.7890625,-11
6.79296875,-29
6.796875,-40
