Time,OZ
2.1328125,2
2.13671875,3
2.140625,2
2.14453125,1
2.1484375,5
2.15234375,14
2.15625,27
2.16015625,42
2.1640625,54
2.16796875,63
2.171875,70
2.17578125,76
2.1796875,79
2.18359375,75
2.1875,62
2.19140625,43
2.1953125,25
2.19921875,14
2.203125,9
2.20703125,5
2.2109375,-1
2.21484375,-16
2.21875,-39
2.22265625,-62
2.2265625,-74
2.23046875,-72
2.234375,-62
2.23828125,-48
2.2421875,-33
2.24609375,-23
2.25,-19
2.25390625,-18
2.2578125,-16
2.26171875,-13
2.265625,-10
2.26953125,-5
2.2734375,0
2.27734375,2
2.28125,1
2.28515625,2
2.2890625,7
2.29296875,17
2.296875,30
2.30078125,40
2.3046875,42
2.30859375,37
2.3125,22
2.31640625,0
2.3203125,-17
2.32421875,-23
2.328125,-19
2.33203125,-9
2.3359375,3
2.33984375,15
2.34375,20
2.34765625,18
2.3515625,12
2.35546875,8
2.359375,6
2.36328125,3
2.3671875,-1
2.37109375,-3
2.375,-3
2.37890625,-5
2.3828125,-10
2.38671875,-20
2.390625,-35
2.39453125,-56
2.3984375,-76
2.40234375,-90
2.40625,-93
2.41015625,-86
2.4140625,-71
2.41796875,-51
2.421875,-30
2.42578125,-13
2.4296875,-4
2.43359375,1
2.4375,5
2.44140625,8
2.4453125,12
2.44921875,17
2.453125,21
2.45703125,18
2.4609375,8
2.46484375,-6
2.46875,-15
2.47265625,-14
2.4765625,-5
2.48046875,5
2.484375,11
2.48828125,9
2.4921875,-2
2.49609375,-15
2.5,-20
2.50390625,-10
2.5078125,12
2.51171875,35
2.515625,51
2.51953125,59
2.5234375,58
2.52734375,51
2.53125,44
2.53515625,38
2.5390625,30
2.54296875,19
2.546875,5
2.55078125,-11
2.5546875,-23
2.55859375,-30
2.5625,-33
2.56640625,-34
2.5703125,-35
2.57421875,-36
2.578125,-35
2.58203125,-33
2.5859375,-25
2.58984375,-13
2.59375,1
2.59765625,15
2.6015625,29
2.60546875,44
2.609375,56
2.61328125,61
2.6171875,55
2.62109375,44
2.625,29
2.62890625,9
2.6328125,-12
2.63671875,-27
2.640625,-39
2.64453125,-53
2.6484375,-64
2.65234375,-66
2.65625,-64
2.66015625,-63
2.6640625,-66
2.66796875,-74
2.671875,-82
2.67578125,-88
2.6796875,-90
2.68359375,-89
2.6875,-85
2.69140625,-80
2.6953125,-72
2.69921875,-59
2.703125,-38
2.70703125,-11
2.7109375,13
2.71484375,24
2.71875,23
2.72265625,16
2.7265625,6
2.73046875,-4
2.734375,-12
2.73828125,-22
2.7421875,-38
2.74609375,-60
2.75,-80
2.75390625,-87
2.7578125,-79
2.76171875,-58
2.765625,-28
2.76953125,3
2.7734375,25
2.77734375,34
2.78125,35
2.78515625,34
2.7890625,33
2.79296875,32
2.796875,35
2.80078125,43
2.8046875,50
2.80859375,50
2.8125,44
2.81640625,33
2.8203125,17
2.82421875,-2
2.828125,-19
2.83203125,-28
2.8359375,-30
2.83984375,-31
2.84375,-32
2.84765625,-31
2.8515625,-28
2.85546875,-24
2.859375,-15
2.86328125,2
2.8671875,18
2.87109375,27
2.875,30
2.87890625,32
2.8828125,37
2.88671875,45
2.890625,55
2.89453125,62
2.8984375,60
2.90234375,49
2.90625,33
2.91015625,16
2.9140625,5
2.91796875,-3
2.921875,-11
2.92578125,-21
2.9296875,-27
2.93359375,-28
2.9375,-26
2.94140625,-21
2.9453125,-10
2.94921875,6
2.953125,20
2.95703125,27
2.9609375,26
2.96484375,19
2.96875,9
2.97265625,0
2.9765625,-1
2.98046875,10
2.984375,23
2.98828125,30
2.9921875,27
2.99609375,16
3.0,0
3.00390625,-17
3.0078125,-31
3.01171875,-43
3.015625,-50
3.01953125,-50
3.0234375,-44
3.02734375,-29
3.03125,-7
3.03515625,17
3.0390625,35
3.04296875,48
3.046875,56
3.05078125,59
3.0546875,59
3.05859375,58
3.0625,56
3.06640625,49
3.0703125,38
3.07421875,23
3.078125,5
3.08203125,-14
3.0859375,-31
3.08984375,-45
3.09375,-53
3.09765625,-53
3.1015625,-48
3.10546875,-43
3.109375,-38
3.11328125,-31
3.1171875,-24
3.12109375,-18
3.125,-13
3.12890625,-3
3.1328125,12
3.13671875,25
3.140625,33
3.14453125,37
3.1484375,33
3.15234375,19
3.15625,1
3.16015625,-11
3.1640625,-13
3.16796875,-11
3.171875,-13
3.17578125,-19
3.1796875,-27
3.18359375,-34
3.1875,-39
3.19140625,-32
3.1953125,-14
3.19921875,7
3.203125,23
3.20703125,35
3.2109375,49
3.21484375,65
3.21875,78
3.22265625,88
3.2265625,91
3.23046875,87
3.234375,74
3.23828125,60
3.2421875,50
3.24609375,44
3.25,39
3.25390625,32
3.2578125,23
3.26171875,11
3.265625,-3
3.26953125,-18
3.2734375,-31
3.27734375,-42
3.28125,-49
3.28515625,-52
3.2890625,-47
3.29296875,-33
3.296875,-10
3.30078125,17
3.3046875,47
3.30859375,72
3.3125,88
3.31640625,90
3.3203125,80
3.32421875,67
3.328125,58
3.33203125,59
3.3359375,67
3.33984375,77
3.34375,78
3.34765625,67
3.3515625,46
3.35546875,27
3.359375,22
3.36328125,30
3.3671875,42
3.37109375,52
3.375,54
3.37890625,44
3.3828125,26
3.38671875,14
3.390625,16
3.39453125,24
3.3984375,32
3.40234375,38
3.40625,42
3.41015625,40
3.4140625,33
3.41796875,29
3.421875,31
3.42578125,32
3.4296875,25
3.43359375,14
3.4375,2
3.44140625,-11
3.4453125,-26
3.44921875,-42
3.453125,-56
3.45703125,-68
3.4609375,-74
3.46484375,-72
3.46875,-59
3.47265625,-38
3.4765625,-16
3.48046875,0
3.484375,14
3.48828125,28
3.4921875,44
3.49609375,56
3.5,59
3.50390625,53
3.5078125,39
3.51171875,21
3.515625,4
3.51953125,-5
3.5234375,-9
3.52734375,-11
3.53125,-15
3.53515625,-18
3.5390625,-18
3.54296875,-14
3.546875,-10
3.55078125,-11
3.5546875,-14
3.55859375,-14
3.5625,-10
3.56640625,-1
3.5703125,13
3.57421875,27
3.578125,33
3.58203125,26
3.5859375,11
3.58984375,-1
3.59375,-8
3.59765625,-17
3.6015625,-23
3.60546875,-21
3.609375,-13
3.61328125,-1
3.6171875,14
3.62109375,25
3.625,28
3.62890625,20
3.6328125,7
3.63671875,-3
3.640625,-8
3.64453125,-9
3.6484375,-13
3.65234375,-21
3.65625,-24
3.66015625,-20
3.6640625,-7
3.66796875,14
3.671875,37
