Time,C3
2.42578125,83
2.4296875,67
2.43359375,53
2.4375,45
2.44140625,39
2.4453125,33
2.44921875,31
2.453125,36
2.45703125,47
2.4609375,63
2.46484375,83
2.46875,99
2.47265625,102
2.4765625,90
2.48046875,74
2.484375,62
2.48828125,56
2.4921875,56
2.49609375,59
2.5,67
2.50390625,76
2.5078125,89
2.51171875,104
2.515625,121
2.51953125,129
2.5234375,121
2.52734375,98
2.53125,69
2.53515625,41
2.5390625,15
2.54296875,-6
2.546875,-21
2.55078125,-33
2.5546875,-37
2.55859375,-31
2.5625,-15
2.56640625,7
2.5703125,27
2.57421875,41
2.578125,47
2.58203125,46
2.5859375,42
2.58984375,37
2.59375,31
2.59765625,23
2.6015625,15
2.60546875,13
2.609375,16
2.61328125,16
2.6171875,13
2.62109375,11
2.625,13
2.62890625,19
2.6328125,29
2.63671875,41
2.640625,49
2.64453125,50
2.6484375,49
2.65234375,55
2.65625,71
2.66015625,89
2.6640625,100
2.66796875,99
2.671875,89
2.67578125,75
2.6796875,64
2.68359375,57
2.6875,56
2.69140625,52
2.6953125,42
2.69921875,29
2.703125,21
2.70703125,14
2.7109375,6
2.71484375,-8
2.71875,-26
2.72265625,-45
2.7265625,-60
2.73046875,-66
2.734375,-59
2.73828125,-45
2.7421875,-29
2.74609375,-16
2.75,-5
2.75390625,5
2.7578125,14
2.76171875,19
2.765625,16
2.76953125,1
2.7734375,-23
2.77734375,-47
2.78125,-60
2.78515625,-59
2.7890625,-50
2.79296875,-44
2.796875,-49
2.80078125,-67
2.8046875,-89
2.80859375,-103
2.8125,-101
2.81640625,-83
2.8203125,-58
2.82421875,-32
2.828125,-7
2.83203125,16
2.8359375,34
2.83984375,41
2.84375,39
2.84765625,29
2.8515625,16
2.85546875,6
2.859375,2
2.86328125,2
2.8671875,-4
2.87109375,-16
2.875,-30
2.87890625,-38
2.8828125,-40
2.88671875,-35
2.890625,-28
2.89453125,-21
2.8984375,-15
2.90234375,-5
2.90625,19
2.91015625,48
2.9140625,71
2.91796875,76
2.921875,65
2.92578125,44
2.9296875,20
2.93359375,3
2.9375,-1
2.94140625,1
2.9453125,0
2.94921875,-11
2.953125,-26
2.95703125,-38
2.9609375,-45
2.96484375,-46
2.96875,-43
2.97265625,-37
2.9765625,-34
2.98046875,-32
2.984375,-31
2.98828125,-29
2.9921875,-29
2.99609375,-31
3.0,-32
3.00390625,-32
3.0078125,-28
3.01171875,-21
3.015625,-15
3.01953125,-11
3.0234375,-9
3.02734375,-5
3.03125,1
3.03515625,11
3.0390625,21
3.04296875,24
3.046875,15
3.05078125,-1
3.0546875,-15
3.05859375,-22
3.0625,-19
3.06640625,-7
3.0703125,4
3.07421875,6
3.078125,-2
3.08203125,-12
3.0859375,-17
3.08984375,-11
3.09375,2
3.09765625,16
3.1015625,23
3.10546875,23
3.109375,22
3.11328125,28
3.1171875,45
3.12109375,72
3.125,96
3.12890625,105
3.1328125,99
3.13671875,84
3.140625,63
3.14453125,42
3.1484375,27
3.15234375,19
3.15625,12
3.16015625,4
3.1640625,-4
3.16796875,-11
3.171875,-17
3.17578125,-20
3.1796875,-15
3.18359375,0
3.1875,22
3.19140625,45
3.1953125,59
3.19921875,61
3.203125,56
3.20703125,50
3.2109375,51
3.21484375,61
3.21875,78
3.22265625,95
3.2265625,101
3.23046875,92
3.234375,76
3.23828125,61
3.2421875,49
3.24609375,44
3.25,46
3.25390625,49
3.2578125,46
3.26171875,38
3.265625,31
3.26953125,27
3.2734375,27
3.27734375,31
3.28125,38
3.28515625,39
3.2890625,32
3.29296875,21
3.296875,12
3.30078125,6
3.3046875,7
3.30859375,16
3.3125,32
3.31640625,49
3.3203125,59
3.32421875,57
3.328125,44
3.33203125,25
3.3359375,9
3.33984375,-1
3.34375,-5
3.34765625,-9
3.3515625,-20
3.35546875,-37
3.359375,-53
3.36328125,-61
3.3671875,-54
3.37109375,-35
3.375,-12
3.37890625,4
3.3828125,9
3.38671875,6
3.390625,-2
3.39453125,-16
3.3984375,-35
3.40234375,-52
3.40625,-64
3.41015625,-70
3.4140625,-69
3.41796875,-61
3.421875,-51
3.42578125,-44
3.4296875,-40
3.43359375,-34
3.4375,-23
3.44140625,-8
3.4453125,5
3.44921875,15
3.453125,25
3.45703125,37
3.4609375,49
3.46484375,61
3.46875,74
3.47265625,84
3.4765625,85
3.48046875,81
3.484375,76
3.48828125,69
3.4921875,59
3.49609375,45
3.5,31
3.50390625,18
3.5078125,7
3.51171875,-1
3.515625,-6
3.51953125,-9
3.5234375,-11
3.52734375,-13
3.53125,-13
3.53515625,-10
3.5390625,-4
3.54296875,4
3.546875,13
3.55078125,18
3.5546875,16
3.55859375,9
3.5625,2
3.56640625,-3
3.5703125,-9
3.57421875,-13
3.578125,-10
3.58203125,-1
3.5859375,9
3.58984375,18
3.59375,24
3.59765625,20
3.6015625,3
3.60546875,-21
3.609375,-45
3.61328125,-62
3.6171875,-71
3.62109375,-76
3.625,-76
3.62890625,-70
3.6328125,-59
3.63671875,-49
3.640625,-41
3.64453125,-31
3.6484375,-13
3.65234375,8
3.65625,29
3.66015625,47
3.6640625,54
3.66796875,43
3.671875,18
3.67578125,-8
3.6796875,-27
3.68359375,-40
3.6875,-50
3.69140625,-58
3.6953125,-61
3.69921875,-62
3.703125,-62
3.70703125,-60
3.7109375,-56
3.71484375,-53
3.71875,-52
3.72265625,-46
3.7265625,-30
3.73046875,-9
3.734375,8
3.73828125,19
3.7421875,29
3.74609375,41
3.75,53
3.75390625,62
3.7578125,68
3.76171875,72
3.765625,71
3.76953125,65
3.7734375,57
3.77734375,45
3.78125,25
3.78515625,-6
3.7890625,-39
3.79296875,-61
3.796875,-63
3.80078125,-48
3.8046875,-25
3.80859375,0
3.8125,19
3.81640625,30
3.8203125,34
3.82421875,31
3.828125,26
3.83203125,23
3.8359375,26
3.83984375,33
3.84375,44
3.84765625,54
3.8515625,54
3.85546875,35
3.859375,-2
3.86328125,-46
3.8671875,-87
3.87109375,-115
3.875,-126
3.87890625,-117
3.8828125,-94
3.88671875,-67
3.890625,-47
3.89453125,-38
3.8984375,-33
3.90234375,-26
3.90625,-13
3.91015625,4
